18,9,31,25,34,'2016-03-04', '10:47:33', '768', '1024', '22', '231', '25', '1IN, '20.0', '77.0\n'
29,30,34,40,35,'2016-03-04', '18:21:16', '1024', '768', '46', '255', '18', '1IN, '20.0', '77.0\n'
20,14,36,26,17,'2016-03-04', '20:50:12', '1366', '768', '97', '603', '351', '1IN, '20.0', '77.0\n'
23,23,29,20,39,'2016-03-04', '21:22:05', '768', '1024', '15', '293', '16', '1IN, '12.9833', '77.5833\n'
13,26,43,36,26,'2016-03-04', '21:27:29', '1024', '768', '3', '579', '12', '1IN, '10.9925', '76.9614\n'
12,16,37,28,30,'2016-03-04', '23:05:26', '1024', '768', '5', '223', '17', '1IN, '20.0', '77.0\n'
25,15,42,27,33,'2016-03-04', '23:11:15', '1024', '600', '9', '216', '17', '1IN, '20.0', '77.0\n'
19,8,34,20,21,'2016-03-05', '00:13:40', '1242', '698', '36', '338', '13', '1IN, '20.0', '77.0\n'
20,15,26,18,29,'2016-03-05', '02:10:44', '1366', '768', '36', '170', '18', '1IN, '20.0', '77.0\n'
39,28,36,28,43,'2016-03-05', '02:14:19', '360', '640', '21', '312', '19', '1IN, '18.975', '72.8258\n'
23,26,34,42,32,'2016-03-05', '03:17:26', '1366', '768', '4', '352', '18', '1IN, '20.0', '77.0\n'
22,33,38,31,38,'2016-03-05', '03:44:19', '1366', '768', '4', '547', '17', '1IN, '28.6', '77.2\n'
18,12,28,20,36,'2016-03-05', '06:23:06', '768', '1024', '5', '124', '13', '1IN, '12.9833', '77.5833\n'
10,25,23,38,33,'2016-03-05', '07:06:07', '1366', '768', '6', '389', '26', '1IN, '20.0', '77.0\n'
16,17,35,27,35,'2016-03-05', '07:30:46', '600', '1024', '3', '238', '14', '1IN, '20.0', '77.0\n'
36,24,35,36,40,'2016-03-05', '08:04:45', '1280', '1024', '4', '288', '20', '1IN, '18.975', '72.8258\n'
18,38,25,41,45,'2016-03-05', '11:37:28', '1366', '768', '65', '185', '10', '2IN, '23.0333', '72.6167\n'
20,12,43,28,39,'2016-03-05', '13:44:22', '1366', '768', '5', '233', '258', '1IN, '28.4667', '77.0333\n'
7,11,41,6,43,'2016-03-05', '18:37:25', '360', '640', '4', '238', '15', '1IN, '20.0', '77.0\n'
31,22,40,34,29,'2016-03-05', '20:06:20', '1366', '768', '209', '266', '29', '1IN, '20.0', '77.0\n'
25,28,44,46,43,'2016-03-05', '21:23:03', '1366', '768', '98', '285', '17', '1IN, '20.0', '77.0\n'
32,18,24,26,30,'2016-03-05', '22:28:37', '360', '640', '7', '359', '24', '1IN, '20.0', '77.0\n'
20,18,32,23,31,'2016-03-06', '00:02:24', '1366', '768', '7264', '265', '10', '1IN, '12.9833', '77.5833\n'
27,20,32,28,21,'2016-03-06', '01:47:02', '1366', '768', '3', '2679', '21', '1IN, '28.4667', '77.0333\n'
37,13,45,32,41,'2016-03-06', '01:52:40', '480', '800', '9', '481', '36', '1IN, '18.975', '72.8258\n'
35,34,46,27,37,'2016-03-06', '02:48:27', '1366', '768', '105', '270', '28', '1IN, '22.45', '86.9833\n'
10,16,26,18,34,'2016-03-06', '03:25:14', '1366', '768', '49', '413', '21', '1IN, '20.0', '77.0\n'
19,19,32,26,41,'2016-03-06', '03:32:26', '320', '534', '24', '645', '14', '1IN, '18.975', '72.8258\n'
40,15,42,18,36,'2016-03-06', '04:21:46', '1366', '768', '26', '242', '11', '1IN, '20.0', '77.0\n'
17,29,34,32,39,'2016-03-06', '04:38:28', '1920', '1080', '14', '202', '6', '9IN, '20.0', '77.0\n'
20,8,34,20,29,'2016-03-06', '06:12:29', '1920', '1080', '26', '259', '14', '1IN, '18.975', '72.8258\n'
8,10,33,12,24,'2016-03-06', '06:26:28', '1440', '900', '66', '245', '12', '1IN, '20.0', '77.0\n'
23,27,34,25,38,'2016-03-06', '06:44:19', '1366', '768', '9', '159', '9', '1IN, '28.4667', '77.0333\n'
27,22,46,22,43,'2016-03-06', '07:06:19', '1280', '800', '36', '179', '15', '1IN, '26.9167', '75.8167\n'
24,18,38,21,25,'2016-03-06', '07:33:18', '720', '1280', '8', '383', '23', '1IN, '20.0', '77.0\n'
16,15,28,10,40,'2016-03-06', '07:37:09', '1093', '614', '99', '149', '7', '1IN, '20.0', '77.0\n'
28,7,36,35,37,'2016-03-06', '09:01:38', '601', '962', '19', '43724', '30', '1IN, '20.0', '77.0\n'
11,6,18,35,39,'2016-03-06', '10:14:15', '1920', '1080', '36', '371', '23', '1IN, '20.0', '77.0\n'
14,12,33,28,31,'2016-03-06', '13:29:01', '480', '800', '35', '276', '14', '1IN, '18.975', '72.8258\n'
29,18,30,18,35,'2016-03-06', '14:14:29', '320', '568', '1136', '1124', '746', '1IN, '23.2667', '77.4\n'
12,4,34,19,30,'2016-03-06', '14:14:55', '375', '667', '9', '154', '9', '1IN, '20.0', '77.0\n'
19,15,35,33,34,'2016-03-06', '19:13:31', '1366', '768', '14', '194', '11', '1IN, '20.0', '77.0\n'
